season,school_id,latitude,longitude
2017,649,44.3113573,-96.7983877
2009,649,44.3113573,-96.7983877
2010,342,40.688432,-75.2207323
2011,342,40.688432,-75.2207323
2012,342,40.688432,-75.2207323
2013,342,40.688432,-75.2207323
2014,342,40.688432,-75.2207323
2015,342,40.688432,-75.2207323
2016,342,40.688432,-75.2207323
2017,342,40.688432,-75.2207323
2009,342,40.688432,-75.2207323
2010,21772,42.3317642,-71.1211635
2011,21772,42.3317642,-71.1211635
2012,21772,42.3317642,-71.1211635
2013,21772,42.3317642,-71.1211635
2014,21772,42.3317642,-71.1211635
2015,21772,42.3317642,-71.1211635
2016,21772,42.3317642,-71.1211635
2017,21772,42.3317642,-71.1211635
2009,21772,42.3317642,-71.1211635
