school_id,season_href,school_name,season,division
362,/team/362/10080,LIU Post,2009,2
2746,/team/2746/10080,Lake Erie,2009,2
345,/team/345/10080,Lake Superior St.,2009,2
1167,/team/1167/10080,Lander,2009,2
347,/team/347/10080,Lane,2009,2
349,/team/349/10080,Le Moyne,2009,2
350,/team/350/10080,LeMoyne-Owen,2009,2
13302,/team/13302/10080,Lees-McRae,2009,2
1170,/team/1170/10080,Lenoir-Rhyne,2009,2
354,/team/354/10080,Lewis,2009,2
1174,/team/1174/10080,Limestone,2009,2
356,/team/356/10080,Lincoln (MO),2009,2
357,/team/357/10080,Lincoln (PA),2009,2
1176,/team/1176/10080,Lincoln Memorial,2009,2
359,/team/359/10080,Livingstone,2009,2
360,/team/360/10080,Lock Haven,2009,2
20794,/team/20794/10080,Lynn,2009,2
413,/team/413/10080,MSU Denver,2009,2
1240,/team/1240/10080,MSU Moorhead,2009,2
384,/team/384/10080,Mansfield,2009,2
1199,/team/1199/10080,Mars Hill,2009,2
30075,/team/30075/10080,Mary,2009,2
407,/team/407/10080,Mercy,2009,2
408,/team/408/10080,Mercyhurst,2009,2
410,/team/410/10080,Merrimack,2009,2
417,/team/417/10080,Michigan Tech,2009,2
1222,/team/1222/10080,Midwestern St.,2009,2
422,/team/422/10080,Miles,2009,2
423,/team/423/10080,Millersville,2009,2
427,/team/427/10080,Minn. Duluth,2009,2
27854,/team/27854/10080,Minn.-Crookston,2009,2
383,/team/383/10080,Minnesota St.,2009,2
435,/team/435/10080,Missouri S&T,2009,2
9013,/team/9013/10080,Missouri Western,2009,2
9012,/team/9012/10080,Mo. Southern St.,2009,2
436,/team/436/10080,Mo.-St. Louis,2009,2
437,/team/437/10080,Molloy,2009,2
205,/team/205/10080,Mont. St. Billings,2009,2
1238,/team/1238/10080,Montevallo,2009,2
445,/team/445/10080,Morehouse,2009,2
447,/team/447/10080,Morningside,2009,2
1245,/team/1245/10080,Mount Olive,2009,2
8577,/team/8577/10080,N.M. Highlands,2009,2
477,/team/477/10080,NYIT,2009,2
1156,/team/1156/10080,Neb.-Kearney,2009,2
470,/team/470/10080,New Haven,2009,2
1257,/team/1257/10080,Newberry,2009,2
30054,/team/30054/10080,Newman,2009,2
487,/team/487/10080,North Ala.,2009,2
494,/team/494/10080,North Dakota,2009,2
30052,/team/30052/10080,North Georgia,2009,2
9223,/team/9223/10080,North Greenville,2009,2
12810,/team/12810/10080,Northeastern St.,2009,2
505,/team/505/10080,Northern Ky.,2009,2
506,/team/506/10080,Northern Mich.,2009,2
1266,/team/1266/10080,Northern St.,2009,2
507,/team/507/10080,Northwest Mo. St.,2009,2
1274,/team/1274/10080,Northwest Nazarene,2009,2
510,/team/510/10080,Northwood,2009,2
30056,/team/30056/10080,Notre Dame de Namur,2009,2
24639,/team/24639/10080,Nova Southeastern,2009,2
1277,/team/1277/10080,Nyack,2009,2
1278,/team/1278/10080,Oakland City,2009,2
15207,/team/15207/10080,Ohio Valley,2009,2
24342,/team/24342/10080,Okla. Panhandle,2009,2
464,/team/464/10080,Omaha,2009,2
1289,/team/1289/10080,Ouachita Baptist,2009,2
2682,/team/2682/10080,P.R.-Bayamon,2009,2
1321,/team/1321/10080,P.R.-Cayey,2009,2
27859,/team/27859/10080,P.R.-Humacao,2009,2
24361,/team/24361/10080,P.R.-Mayaguez,2009,2
2716,/team/2716/10080,P.R.-Rio Piedras,2009,2
533,/team/533/10080,Pace,2009,2
535,/team/535/10080,Paine,2009,2
30045,/team/30045/10080,Palm Beach Atl.,2009,2
542,/team/542/10080,Pfeiffer,2009,2
546,/team/546/10080,Pitt.-Johnstown,2009,2
1314,/team/1314/10080,Pittsburg St.,2009,2
1318,/team/1318/10080,Post,2009,2
11504,/team/11504/10080,Queens (NC),2009,2
560,/team/560/10080,Queens (NY),2009,2
561,/team/561/10080,Quincy,2009,2
568,/team/568/10080,Regis (CO),2009,2
1328,/team/1328/10080,Rockhurst,2009,2
584,/team/584/10080,Rollins,2009,2
11276,/team/11276/10080,S.C. Aiken,2009,2
591,/team/591/10080,Saginaw Valley,2009,2
594,/team/594/10080,Saint Augustine's,2009,2
608,/team/608/10080,Saint Leo,2009,2
1343,/team/1343/10080,Saint Martin's,2009,2
613,/team/613/10080,Saint Michael's,2009,2
1347,/team/1347/10080,Saint Rose,2009,2
19117,/team/19117/10080,Salem (WV),2009,2
628,/team/628/10080,San Fran. St.,2009,2
634,/team/634/10080,Seattle Pacific,2009,2
1356,/team/1356/10080,Seattle U,2009,2
30063,/team/30063/10080,Seton Hill,2009,2
636,/team/636/10080,Shaw,2009,2
10870,/team/10870/10080,Shepherd,2009,2
638,/team/638/10080,Shippensburg,2009,2
643,/team/643/10080,Slippery Rock,2009,2
645,/team/645/10080,Sonoma St.,2009,2
650,/team/650/10080,South Dakota,2009,2
2753,/team/2753/10080,Southampton,2009,2
1371,/team/1371/10080,Southeastern Okla.,2009,2
1376,/team/1376/10080,Southern Ark.,2009,2
