season,season_id,school_id,school_name,division
2009,10080,24400,Concordia (TX),3
2009,10080,160,Concordia Chicago,3
2009,10080,1036,Concordia Wisconsin,3
2009,10080,161,Concordia-M'head,3
2009,10080,163,Connecticut Col.,3
2009,10080,166,Cornell College,3
2009,10080,30035,Crown (MN),3
2009,10080,170,Curry,3
2009,10080,1059,D'Youville,3
2009,10080,1044,Dallas,3
2009,10080,2691,Daniel Webster,3
2009,10080,177,DePauw,3
2009,10080,20,DeSales,3
2009,10080,1050,Defiance,3
2009,10080,179,Delaware Valley,3
2009,10080,182,Denison,3
2009,10080,185,Dickinson,3
2009,10080,1332,Dominican (IL),3
2009,10080,190,Drew,3
2009,10080,192,Dubuque,3
2009,10080,195,Earlham,3
2009,10080,1062,East Tex. Baptist,3
2009,10080,203,East. Mennonite,3
2009,10080,8968,Eastern,3
2009,10080,200,Eastern Conn. St.,3
2009,10080,1064,Eastern Nazarene,3
2009,10080,1065,Eastern Ore.,3
2009,10080,1066,Edgewood,3
2009,10080,211,Elizabethtown,3
2009,10080,212,Elmhurst,3
2009,10080,213,Elmira,3
2009,10080,532,Elms,3
2009,10080,214,Emerson,3
2009,10080,215,Emmanuel (MA),3
2009,10080,217,Emory,3
2009,10080,216,Emory & Henry,3
2009,10080,8981,Endicott,3
2009,10080,218,Eureka,3
2009,10080,221,FDU- Florham,3
2009,10080,27892,Farmingdale St.,3
2009,10080,225,Ferrum,3
2009,10080,30032,Finlandia,3
2009,10080,226,Fisk,3
2009,10080,227,Fitchburg St.,3
2009,10080,11538,Fontbonne,3
2009,10080,238,Framingham St.,3
2009,10080,2694,Franklin,3
2009,10080,239,Franklin & Marshall,3
2009,10080,242,Fredonia,3
2009,10080,243,Frostburg St.,3
2009,10080,245,Gallaudet,3
2009,10080,30084,Geneva,3
2009,10080,1094,George Fox,3
2009,10080,258,Gettysburg,3
2009,10080,1099,Gordon,3
2009,10080,1467,Goucher,3
2009,10080,11062,Green Mountain,3
2009,10080,263,Greensboro,3
2009,10080,1111,Greenville,3
2009,10080,264,Grinnell,3
2009,10080,265,Grove City,3
2009,10080,1112,Guilford,3
2009,10080,266,Gust. Adolphus,3
2009,10080,12399,Gwynedd Mercy,3
2009,10080,267,Hamilton,3
2009,10080,268,Hamline,3
2009,10080,269,Hampden-Sydney,3
2009,10080,1115,Hanover,3
2009,10080,271,Hardin-Simmons,3
2009,10080,273,Hartwick,3
2009,10080,276,Haverford,3
2009,10080,278,Heidelberg,3
2009,10080,1124,Hendrix,3
2009,10080,8398,Hilbert,3
2009,10080,281,Hiram,3
2009,10080,282,Hobart and William Smith,3
2009,10080,8404,Hood,3
2009,10080,286,Hope,3
2009,10080,2741,Howard Payne,3
2009,10080,292,Hunter,3
2009,10080,1130,Huntingdon,3
2009,10080,1133,Husson,3
2009,10080,300,Ill. Wesleyan,3
2009,10080,297,Illinois Col.,3
2009,10080,303,Immaculata,3
2009,10080,313,Ithaca,3
2009,10080,320,John Carroll,3
2009,10080,321,John Jay,3
2009,10080,322,Johns Hopkins,3
2009,10080,22626,Johnson & Wales (RI),3
2009,10080,324,Johnson St.,3
2009,10080,325,Juniata,3
2009,10080,326,Kalamazoo,3
2009,10080,329,Kean,3
2009,10080,330,Keene St.,3
2009,10080,335,Kenyon,3
2009,10080,1159,Keuka,3
2009,10080,30047,Keystone,3
2009,10080,336,King's (PA),3
2009,10080,337,Knox,3
2009,10080,1163,La Roche,3
2009,10080,30043,La Sierra,3
2009,10080,341,La Verne,3
2009,10080,1162,LaGrange,3
2009,10080,344,Lake Forest,3
2009,10080,1164,Lakeland,3
2009,10080,30085,Lancaster Bible,3
2009,10080,8486,Lasell,3
2009,10080,348,Lawrence,3
2009,10080,8490,LeTourneau,3
2009,10080,351,Lebanon Valley,3
2009,10080,279,Lehman,3
2009,10080,24317,Lesley,3
2009,10080,22235,Lewis & Clark,3
2009,10080,30066,Lincoln Christian,3
